ASV	domain	phylum	class	order	family	genus	species
ASV_243	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_A	NA
ASV_244	Bacteria	NA	NA	NA	NA	NA	NA
ASV_245	Bacteria	NA	NA	NA	NA	NA	NA
ASV_246	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_247	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	NA
ASV_248	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	NA
ASV_249	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_250	Bacteria	NA	NA	NA	NA	NA	NA
ASV_251	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_252	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	HGM04792	NA
ASV_253	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
ASV_254	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	NA
ASV_255	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV_257	Bacteria	NA	NA	NA	NA	NA	NA
ASV_258	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	NA
ASV_259	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ASV_260	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	NA
ASV_261	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	NA
ASV_262	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV_263	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	NA
ASV_264	Bacteria	NA	NA	NA	NA	NA	NA
ASV_265	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	NA
ASV_266	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_267	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	NA	NA
ASV_269	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
ASV_270	Bacteria	NA	NA	NA	NA	NA	NA
ASV_271	Bacteria	NA	NA	NA	NA	NA	NA
ASV_272	Bacteria	NA	NA	NA	NA	NA	NA
ASV_273	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_274	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
ASV_275	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ASV_276	Bacteria	NA	NA	NA	NA	NA	NA
ASV_277	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	NA	NA
ASV_278	Bacteria	NA	NA	NA	NA	NA	NA
ASV_279	Bacteria	NA	NA	NA	NA	NA	NA
ASV_280	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_281	Bacteria	NA	NA	NA	NA	NA	NA
ASV_282	Bacteria	NA	NA	NA	NA	NA	NA
ASV_283	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_284	Bacteria	NA	NA	NA	NA	NA	NA
ASV_285	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_286	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	NA	NA
ASV_287	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV_288	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA
ASV_289	Bacteria	NA	NA	NA	NA	NA	NA
ASV_290	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV_291	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_292	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_293	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_294	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_295	Bacteria	NA	NA	NA	NA	NA	NA
ASV_296	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	NA
ASV_297	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA
ASV_299	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	NA
ASV_300	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter_A	NA
ASV_301	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_302	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS363	NA
ASV_303	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Mesosutterella	NA
ASV_304	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
ASV_305	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_306	Bacteria	NA	NA	NA	NA	NA	NA
ASV_307	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_308	Bacteria	NA	NA	NA	NA	NA	NA
ASV_309	Bacteria	NA	NA	NA	NA	NA	NA
ASV_310	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_311	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	NA
ASV_313	Bacteria	NA	NA	NA	NA	NA	NA
ASV_315	Bacteria	NA	NA	NA	NA	NA	NA
ASV_317	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	NA	NA
ASV_318	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	NA
ASV_319	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_320	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas_A	NA
ASV_321	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Allisonella	NA
ASV_322	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495	NA
ASV_323	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_324	Bacteria	NA	NA	NA	NA	NA	NA
ASV_325	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus_B	NA
ASV_326	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_327	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV_328	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_329	Bacteria	NA	NA	NA	NA	NA	NA
ASV_330	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	NA
ASV_331	Bacteria	NA	NA	NA	NA	NA	NA
ASV_332	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_333	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_334	Bacteria	Eremiobacterota	Xenobia	Xenobiales	Xenobiaceae	Bruticola	NA
ASV_335	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	NA
ASV_336	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_337	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_338	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	NA
ASV_339	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter_A	NA
ASV_340	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	NA	NA	NA
ASV_341	Bacteria	NA	NA	NA	NA	NA	NA
ASV_342	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	F0040	NA
ASV_343	Bacteria	NA	NA	NA	NA	NA	NA
ASV_344	Bacteria	NA	NA	NA	NA	NA	NA
ASV_345	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AM51-8	NA
ASV_346	Bacteria	NA	NA	NA	NA	NA	NA
ASV_348	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	NA
ASV_350	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	NA
ASV_351	Bacteria	NA	NA	NA	NA	NA	NA
ASV_352	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA
ASV_353	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA
ASV_354	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_355	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_356	Bacteria	NA	NA	NA	NA	NA	NA
ASV_357	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA
ASV_358	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196	NA
ASV_359	Bacteria	NA	NA	NA	NA	NA	NA
ASV_360	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_361	Bacteria	NA	NA	NA	NA	NA	NA
ASV_362	Bacteria	NA	NA	NA	NA	NA	NA
ASV_363	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	NA	NA	NA
ASV_364	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_365	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	NA
ASV_366	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_367	Bacteria	NA	NA	NA	NA	NA	NA
ASV_368	Bacteria	NA	NA	NA	NA	NA	NA
ASV_369	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_370	Bacteria	NA	NA	NA	NA	NA	NA
ASV_371	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV_372	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	NA	NA
ASV_373	Bacteria	NA	NA	NA	NA	NA	NA
ASV_374	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	NA
ASV_375	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	VUNA01	NA
ASV_376	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	NA
ASV_379	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	NA
ASV_380	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_382	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV_383	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-793	NA
ASV_384	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	NA
ASV_385	Bacteria	NA	NA	NA	NA	NA	NA
ASV_386	Bacteria	NA	NA	NA	NA	NA	NA
ASV_387	Bacteria	NA	NA	NA	NA	NA	NA
ASV_389	Bacteria	NA	NA	NA	NA	NA	NA
ASV_390	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_391	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	NA
ASV_392	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
ASV_393	Bacteria	NA	NA	NA	NA	NA	NA
ASV_394	Bacteria	NA	NA	NA	NA	NA	NA
ASV_397	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_398	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_399	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
ASV_400	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	NA
ASV_401	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	NA	NA
ASV_402	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_403	Bacteria	NA	NA	NA	NA	NA	NA
ASV_405	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_406	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_407	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_408	Bacteria	NA	NA	NA	NA	NA	NA
ASV_409	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	NA
ASV_410	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_411	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_AN	NA
ASV_412	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_413	Bacteria	NA	NA	NA	NA	NA	NA
ASV_414	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	F0040	NA
ASV_415	Bacteria	NA	NA	NA	NA	NA	NA
ASV_416	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV_418	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_419	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA
ASV_420	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_421	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	NA
ASV_422	Bacteria	NA	NA	NA	NA	NA	NA
ASV_423	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_424	Bacteria	NA	NA	NA	NA	NA	NA
ASV_425	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	NA
ASV_426	Bacteria	NA	NA	NA	NA	NA	NA
ASV_427	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	NA
ASV_428	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_429	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_430	Bacteria	NA	NA	NA	NA	NA	NA
ASV_431	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_432	Bacteria	NA	NA	NA	NA	NA	NA
ASV_433	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_434	Bacteria	NA	NA	NA	NA	NA	NA
ASV_435	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	NA
ASV_436	Bacteria	NA	NA	NA	NA	NA	NA
ASV_437	Bacteria	NA	NA	NA	NA	NA	NA
ASV_438	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_439	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_E	NA
ASV_440	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	NA
ASV_442	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_443	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	RUG013	NA
ASV_444	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	NA
ASV_445	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_446	Bacteria	NA	NA	NA	NA	NA	NA
ASV_447	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	NA
ASV_448	Bacteria	NA	NA	NA	NA	NA	NA
ASV_449	Bacteria	NA	NA	NA	NA	NA	NA
ASV_450	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
ASV_452	Bacteria	NA	NA	NA	NA	NA	NA
ASV_454	Bacteria	NA	NA	NA	NA	NA	NA
ASV_455	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_456	Bacteria	NA	NA	NA	NA	NA	NA
ASV_457	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_458	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	NA
ASV_459	Bacteria	NA	NA	NA	NA	NA	NA
ASV_460	Bacteria	NA	NA	NA	NA	NA	NA
ASV_462	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_463	Bacteria	NA	NA	NA	NA	NA	NA
ASV_464	Bacteria	Firmicutes_A	NA	NA	NA	NA	NA
ASV_465	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA
ASV_466	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_467	Bacteria	NA	NA	NA	NA	NA	NA
ASV_468	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	NA
ASV_469	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_470	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	PeH17	NA
ASV_471	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA
ASV_472	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	NA
ASV_473	Bacteria	NA	NA	NA	NA	NA	NA
ASV_474	Bacteria	NA	NA	NA	NA	NA	NA
ASV_475	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
ASV_476	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	NA
ASV_477	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_480	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA
ASV_481	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_482	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA
ASV_484	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA
ASV_485	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	NA	NA
ASV_486	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ASV_487	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
ASV_488	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	NA	NA
ASV_490	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_492	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Pasteurella	NA
ASV_493	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV_494	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	NA
ASV_495	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	NA
ASV_496	Bacteria	NA	NA	NA	NA	NA	NA
ASV_497	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_498	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
